259,120,421
472,4,724
822,392,687
341,851,209
817,248,537
29,672,601
425,763,216
214,71,920
987,252,370
73,525,412
387,583,241
678,417,618
992,1,521
312,592,411
577,39,900
115,607,197
730,231,459
930,751,840
155,263,205
712,470,42
220,380,729
692,36,901
932,569,829
19,575,336
644,532,255
184,809,639
418,793,522
338,679,517
572,5,659
217,735,785
65,113,260
577,157,304
364,649,626
196,690,553
463,588,788
969,184,887
653,369,418
178,603,860
516,623,703
300,597,646
114,587,543
219,183,648
985,228,537
294,159,198
153,580,218
6,431,114
395,356,702
104,641,909
860,760,835
702,444,913
72,196,392
738,103,119
287,550,923
872,900,189
796,287,979
997,938,328
712,956,895
897,802,765
745,59,561
971,304,394
681,529,959
138,565,766
908,728,134
57,108,413
106,380,193
491,525,464
378,724,582
641,472,872
667,743,976
874,397,18
19,494,577
901,739,752
103,255,136
445,636,214
965,825,105
165,194,637
486,261,249
466,673,559
70,417,512
51,284,364
